id	question
1	Quando iniciar os cuidados com os bezerros?
2	Quais os principais cuidados que se deve tomar com os bezerros recém-nascidos?
3	Como se explica o nascimento de bezerros fracos e pequenos?
4	Qual o melhor manejo de bezerros recém-nascidos a fim de evitar a proliferação de doenças?
5	Qual a melhor maneira de criar o bezerro: ao pé da mãe ou apartado dela?
6	É correto deixar para o bezerro apenas a “rapa de leite dos quatro tetos” (leite residual após a ordenha)?
7	Quais as vantagens do aleitamento natural?
8	Por que alguns produtores fracassam ao mudar do sistema de aleitamento natural para o artificial?
9	Quais qualidades deve ter a pessoa que trata dos bezerros?
10	Quais as causas da mortalidade de bezerros nos 3 primeiros meses de vida?
11	Qual a vantagem de descornar os bezerros ainda jovens?
12	O leite “sujo” é importante para os bezerros?
13	O colostro é diferente do leite normal?
14	Há diferença na produção de colostro entre vacas?
15	É aconselhável ordenhar as vacas antes do parto?
16	Há algum substituto para o colostro?
17	Qual o manejo correto para apartar bezerros?
18	Como fazer o desaleitamento precoce?
19	Com que idade pode-se fazer o desaleitamento precoce dos bezerros?
20	É mais fácil fazer o desaleitamento precoce em bezerros aleitados artificialmente?
21	"Depois de quantos dias de vida deve-se dar alimento volumoso (pasto	 silagem	 feno) aos bezerros?"
22	Quantos litros de leite devem ser fornecidos aos bezerros?
23	Qual a temperatura ideal do leite a ser fornecido aos bezerros?
24	O que são sucedâneos do leite?
25	Pode-se utilizar o leite de soja na alimentação dos bezerros?
26	Quais as características de um bom concentrado para bezerros?
27	Como saber se é vantagem fornecer leite ou concentrado para as bezerras?
28	Qual a melhor pastagem para bezerros?
29	A cana-de-açúcar e a ureia podem ser utilizadas na alimentação dos bezerros jovens?
30	"A adição de ureia no concentrado para bezerros jovens pode provocar intoxicação	 prejudicando o desenvolvimento do rúmen?"
31	Quais as características de uma boa instalação para bezerros?
32	O bezerreiro de alvenaria ou de madeira é a instalação mais indicada?
33	Os bezerros podem ser criados a pasto desde o nascimento?
34	Qual a vantagem em se utilizar abrigos individuais (casinhas/gaiolas) na criação de bezerros?
35	"Pode-se utilizar casca de arroz	 serragem e palha de café como cama em abrigos individuais?"
36	Quanto de concentrado a novilha deve comer após a fase de aleitamento?
37	"Qual o ganho de peso ideal de uma fêmea leiteira	 até a cobertura?"
38	Com quantos meses uma novilha bem alimentada está pronta para o acasalamento?
39	"Por que	 em alguns rebanhos	 as novilhas chegam aos 2 anos sem ter peso nem tamanho para cobrição	 e não apresentam cio?"
40	"Qual o melhor procedimento quando se constata que uma novilha	 sem o peso ideal de acasalamento	 foi coberta acidentalmente?"
41	Quais as funções da proteína e da energia para bovinos?
42	Proteína em excesso pode causar problemas para vacas em lactação?
43	"Do ponto de vista fisiológico	 existe vantagem no uso de rações com pouca proteína para vacas em lactação?"
44	"Qual o nível máximo de nitrogênio não proteico (amônia	 ureia	 etc.)	 em relação à proteína bruta da ração para vacas leiteiras?"
45	Como as vacas leiteiras utilizam o nitrogênio não proteico?
46	"O fornecimento de ureia por longos períodos	 mesmo que nas dosagens recomendadas	 provoca problemas reprodutivos nas vacas?"
47	Energia em excesso pode causar algum problema para vacas em lactação?
48	Qual a importância da alimentação na reprodução?
49	Por que a energia é importante para a reprodução?
50	Até que ponto uma vaca consegue produzir e reproduzir com dietas deficientes em energia?
51	"As vacas secas devem receber pouca alimentação	 uma vez que não geram receita?"
52	Qual a melhor estratégia de alimentação das vacas no período pré-parto?
53	Deve-se fornecer concentrado para as vacas no período pré-parto?
54	"Convém secar a vaca quando estiver faltando 60 dias para o parto	 caso ela esteja muito magra?"
55	"O que é possível fazer para que haja mais nascimentos de bezerros por vaca	 sem prejudicar o descanso normal do animal?"
56	Quais as possíveis razões para o emagrecimento de vacas depois do parto?
57	Como maximizar o consumo de alimentos pelas vacas em lactação?
58	"Qual a importância da fibra na dieta de vacas leiteiras	 e em que quantidade deve ser administrada?"
59	"Há alguma vantagem na aplicação do complexo vitamínico A	 D	 E para vacas leiteiras?"
60	O que são ingredientes/substâncias tamponantes (tampões/ buffers)?
61	Qual a exigência diária de água de uma vaca em lactação?
62	"Durante a fase de colostro	 deve-se ordenhar a vaca ou somente após o leite ficar “limpo”?"
63	É mais econômico comprar o concentrado pronto ou prepará-lo na fazenda?
64	Há vantagem em se adicionar água ao volumoso e ao concentrado para vacas leiteiras?
65	Como balancear a ração para vacas que produzem até 14 kg de leite/dia?
66	Quais são as necessidades alimentares diárias das vacas em lactação?
67	Qual a composição média da cevada úmida?
68	"Pode-se dar 1 kg de ração para cada 3 L de leite produzido	 independentemente do volume de produção da vaca?"
69	É preciso tostar os grãos de soja antes de fornecê-los às vacas em lactação?
70	O caroço de algodão pode ser fornecido para vacas em lactação?
71	"Em regime de duas ordenhas	 quais são os melhores horários e o intervalo de tempo entre elas?"
72	"Quando a vaca perde um teto	 os outros três passam a produzir a mesma quantidade dos quatro?"
73	"O aleitamento artificial	 com separação do bezerro da vaca	 interfere no período de lactação da vaca?"
74	Qual a melhor estratégia para a reposição de fêmeas?
75	Uma vaca deve ser descartada depois de quantas lactações?
76	"Entre as vacas do rebanho	 quantas devem estar em lactação?"
77	Como fazer para aumentar o número de vacas prenhes no rebanho?
78	Quais os modelos de ficha indicados para o controle leiteiro e o reprodutivo?
79	Quais os principais cuidados sanitários com o reprodutor?
80	Quais características devem ser observadas na escolha de um reprodutor?
81	Quais as recomendações para o correto arraçoamento de touros?
82	Pode-se utilizar ureia na alimentação de touros?
83	O que pode acontecer com touros obesos?
84	Quais condições determinam a diminuição ou perda da libido em touros?
85	Um touro “frio” é estéril?
86	Um touro sadio pode cobrir duas vacas no mesmo dia e enxertá-las?
87	"Por que um touro que enxertava as vacas normalmente	 de um momento para o outro	 passa a não enxertá-las mais?"
88	Quem determina o sexo da cria: o touro ou a vaca?
89	É verdade que touros de testículos alongados produzem mais bezerras?
90	O tamanho do prepúcio ou bainha pode interferir na capacidade reprodutiva dos touros?
91	Deve-se experimentar vários touros em uma vaca que não pega cria?
92	A eletroejaculação prejudica o touro?
93	Até que idade um reprodutor pode ser utilizado?
94	O touro com apenas um testículo é capaz de enxertar?
95	Quais as principais vantagens da monta natural controlada e da monta natural a campo?
96	Qual a relação touro/vaca mais indicada para sistemas de monta natural?
97	"Se um touro cobrir uma vaca	 e depois ela for inseminada	 no mesmo cio	 com sêmen de outro touro	 como saber qual é o pai?"
98	"Considerando que a manutenção de um touro é cara	 é aconselhável utilizá-lo para cobrir vacas de vizinhos	 cobrando uma taxa?"
99	Sal comum e mistura mineral (sal mineralizado) são a mesma coisa?
100	Como deve ser fornecido o sal mineral?
101	Como usar ureia no sal mineral?
102	A variação de marcas de sal mineral pode ocasionar problemas para o gado?
103	As formulações de sal mineral existentes no mercado atendem às reais necessidades do rebanho?
104	O sal de boa qualidade deve conter que níveis de micro e macronutrientes?
105	É verdade que os bovinos procuram sal mineral quando sentem necessidade?
106	Deve-se dar preferência à mistura mineral com o sal comum ou ao concentrado mineral?
107	Por quanto tempo o sal mineral pode ficar armazenado sem perder o valor nutritivo?
108	"Na falta de sal mineral	 a vaca come menos volumoso e concentrado?"
109	Qual a quantidade de sal mineral a ser fornecida para vacas em lactação?
110	A falta de sal mineral pode prejudicar a produção de leite?
111	Como se explica a presença de animais com boas condições corporais em rebanhos que não recebem sal mineral?
112	Existem trabalhos mostrando a relação custo/benefício do uso do sal mineral na produção e reprodução de bovinos?
113	O fornecimento de sal mineral dentro da técnica recomendada não aumenta muito os custos de produção?
114	Os minerais ajudam no aproveitamento da energia da dieta ou eles têm ações independentes?
115	Quais os microelementos essenciais ao gado de leite?
116	Existe algum mineral capaz de combater os vermes intestinais?
117	"Por que em algumas situações os animais começam a comer telhas	 tijolos	 terra	 etc.?"
118	Pode-se usar fosfato de rocha em misturas minerais?
119	Qual a melhor fonte de fósforo: a farinha de ossos ou o fosfato bicálcico?
120	Pode-se utilizar calcário dolomítico ou magnesiano na mistura mineral para bovinos?
121	É importante adicionar calcário quando se está preparando ração na propriedade?
122	O que é “febre do leite”?
123	Qual o mineral cuja ausência provoca “papeira” em bovinos?
124	Por que se deve adicionar sulfato de amônia à mistura cana-de-açúcar + ureia para bovinos?
125	Alguns minerais são mais importantes que outros para a reprodução dos bovinos?
126	O fornecimento de minerais pode reduzir o intervalo de partos?
127	Deficiências minerais atrasam o cio?
128	"Por que as vacas demoram a entrar em cio depois do parto	 mesmo recebendo suplementação mineral?"
129	Existe alguma contraindicação em relação à adição de enxofre em pó no sal mineral para reduzir a infestação por carrapatos?
130	O fósforo é importante para a reprodução?
131	Sal mineral em excesso pode provocar abortos?
132	Existe algum mineral que aumente a resistência das vacas às infecções uterinas?
133	Como saber qual a deficiência da pastagem para definir a suplementação?
134	É mais conveniente mineralizar somente na época de maior crescimento do pasto ou o ano todo?
3	"Recursos Forrageiros Maurílio José Alvim Antônio Carlos Cóser Carlos Eugênio Martins Duarte Vilela Joaquim Resende Pereira Luiz Januário Magalhães Aroeira Margarida Mesquita de Carvalho Milton de Andrade Botrel Jackson Silva e Oliveira Wadson Sebastião Duarte da Rocha Fausto de Souza Sobrinho Marcelo Dias Müller Paulino José Melo de Andrade Domingos Sávio Campos Paciullo Carlos Augusto de Miranda Gomide Carlos Renato Tavares de Castro 135 Qual o melhor capim	 ou o capim “milagroso”	 para a produção de leite?"
136	O que se entende por potencial forrageiro das gramíneas tropicais?
137	Quais as espécies forrageiras mais indicadas para vacas em lactação?
1	"Maiores detalhes sobre essa mudança de nome do gênero Brachiaria para Urochloa	 podem ser encontrados no endereço eletrônico www.diadecampo.com.br (VALLE	 2010). 138 Qual a capacidade de suporte das principais gramíneas forrageiras	 em boas condições de manejo e adubação?"
139	Qual o melhor capim para áreas encharcadas e para áreas de morro?
140	Quais gramíneas são recomendadas para pastejo direto em regiões de Cerrado?
141	Como deve ser feita a consorciação de gramíneas e leguminosas para a região do Cerrado?
142	O que são plantas estoloníferas?
143	Como se faz o plantio de gramíneas forrageiras estoloníferas?
144	"Quais as diferenças entre as cultivares de capim-elefante Cameroon e Napier	 quanto à produtividade	 palatabilidade	 manejo e persistência?"
145	O capim-elefante é melhor que as braquiárias para a produção de leite?
146	Até que ponto é viável implantar pastagens de capimelefante em áreas anteriormente formadas com braquiária?
147	Quais os períodos de ocupação (pastejo) e de descanso mais recomendados para pastagens de capim-elefante?
148	Qual a área dos piquetes?
149	Durante quantos meses pode-se usar a pastagem de capimelefante?
150	Existe diferença na palatabilidade do capim-elefante quando adubado com esterco ou com adubo químico?
151	É vantajoso formar pastos de capim-colonião com sojagrão?
152	Quais as principais diferenças morfológicas entre os Tifton 68 e Tifton 85?
153	Quais as principais cultivares de setária utilizadas na formação de pastagens?
154	"Quais as principais características do capim-elefante	 cultivar Pioneiro?"
155	Quais as principais características do capim-buffel (Cenchrus ciliares)?
156	"Quais as principais forrageiras tropicais	 adaptadas às condições de baixa temperatura	 no Brasil?"
157	O capim-colonião adapta-se bem em solos de baixa fertilidade?
158	Como minimizar o uso do fogo no manejo do capimcolonião?
159	O Panicum maximum cultivar Centenário é adequado para a região Centro-Oeste?
160	"Quais as principais características da cultivar Tobiatã	 da espécie Panicum maximum?"
161	Quais os principais fatores que influenciam a germinação das sementes de braquiária?
162	As braquiárias são uma boa opção para a formação de pastagens?
163	"Após o plantio	 deve-se esperar quanto tempo para colocar os animais em pastagem de braquiária?"
164	Pastejo rotativo em pastagens de capim-angola é obrigatório?
165	"Sob pastejo rotativo	 qual a altura adequada da pastagem de capim-braquiária para introduzir e retirar os animais?"
166	Pastagem de Brachiaria ruziziensis é uma boa alternativa para vacas em lactação?
167	Quais as características da braquiária Tanner-grass?
168	A Brachiaria decumbens pode ser tóxica?
169	Como combater a fotossensibilização provocada pelas braquiárias?
170	As pastagens de braquiária são mais suscetíveis às infestações de cupins?
171	"Por que as pastagens de capim-gordura (meloso)	 outrora tão numerosas	 estão desaparecendo?"
172	Qual a variedade de cana-de-açúcar recomendada para a alimentação de bovinos?
173	A cana-de-açúcar pura é boa opção como volumoso?
174	Qual a quantidade máxima da mistura cana-de-açúcar/ ureia a ser fornecida para vacas leiteiras?
175	Por que há necessidade de se incluir uma fonte de enxofre na mistura cana-de-açúcar mais ureia?
176	Qual a importância da alfafa como forrageira?
177	É viável a produção de alfafa em regiões tropicais?
178	Quais cuidados deve-se ter na escolha do local para plantio de alfafa?
179	Quais as cultivares de alfafa mais recomendadas para regiões tropicais?
180	Qual a quantidade de semente e o espaçamento recomendados para o plantio de alfafa?
181	"Qual a melhor época para o plantio da alfafa	 em regiões tropicais?"
182	Como minimizar os problemas com invasoras durante o estabelecimento de um campo de alfafa?
183	Quais os melhores sistemas de corte e de pastejo da alfafa?
184	Quais as vantagens da alfafa na alimentação de vacas com alto potencial de produção de leite?
185	É necessário irrigar a cultura da alfafa durante o período da seca?
186	A alfafa é suscetível ao ataque de pragas e doenças?
187	Quais as principais forrageiras de inverno recomendadas para a alimentação de bovinos?
188	É viável o cultivo das forrageiras de inverno na região Sudeste do Brasil?
189	Em que tipo de área recomenda-se o plantio da aveia ou do azevém anual?
190	Qual o meio mais prático e rápido para saber se as sementes das forrageiras de inverno são de boa qualidade?
191	Qual a quantidade de semente e o espaçamento recomendados para o plantio da aveia e do azevém?
192	Qual a melhor época de plantio da aveia-preta e do azevém?
193	A aveia e o azevém anual precisam ser plantados todos os anos?
194	Pode-se fazer o plantio da aveia e do azevém anual misturados?
195	Qual o período de pastejo da aveia e do azevém anual na região Sudeste?
196	"Quais culturas podem ser combinadas com a aveia ou azevém anual	 para melhor aproveitamento da área?"
197	Quais as produções de forragem da aveia e do azevém anual nas condições do Centro-Oeste e Sudeste?
198	Qual a capacidade de suporte e a produção de leite de vacas em pastagem de aveia ou azevém?
199	Qual o melhor tipo de solo e a melhor localização para a formação de capineiras?
200	Quais as forrageiras mais utilizadas para a formação de capineiras?
201	"Pode-se utilizar o feijão-guandu	 em consorciação	 em uma capineira?"
202	Quais as quantidades de nutrientes extraídas de uma capineira?
203	Qual a melhor altura de corte de uma capineira?
204	"Ao final da colheita mecânica do capim-elefante	 verificase um desgaste muito grande do equipamento. Como controlar esse problema?"
205	Qual a vantagem do capim-elefante cortado num dia e fornecido ao gado no outro?
206	Como aproveitar a capineira de capim-elefante que a geada queimou?
207	O que fazer com o capim que está sobrando?
208	Qual a vida útil de uma capineira submetida a seis cortes ao ano?
209	Quais técnicas são adotadas para a recuperação de capineiras?
210	Como manejar uma capineira?
211	Quais as características de uma boa pastagem?
212	A mesma pastagem pode ser formada com vários tipos de capim?
213	A quantidade de sementes a ser usada na formação da pastagem depende de sua qualidade e do tipo de solo?
214	Podem-se misturar as sementes de forrageiras ao sal mineral?
215	"É correta a prática de misturar as sementes com o fosfato de Araxá	 para a formação de pastagens?"
216	Como formar pastagem de modo a evitar o replantio?
217	Qual o melhor método de formação de pastagens em morros?
218	Quando plantar a forrageira associada ao milho ou sorgo de forma a garantir a formação da pastagem sem prejudicar a qualidade da silagem?
219	"Qual o melhor sistema de manejo para pastagens de capim braquiária	 gordura e andropogon?"
220	Banco de proteínas é uma boa prática para alimentar vacas em lactação?
221	Quais as espécies forrageiras recomendadas para formar bancos de proteína?
222	Qual o melhor manejo para propriedades com pastagens cultivadas e nativas?
223	Quais as vantagens e as desvantagens da divisão das pastagens em piquetes?
224	O tamanho do piquete exerce influência sobre o sistema de pastejo rotativo?
225	Quais os critérios utilizados para orientar na mudança dos animais dos piquetes?
226	"Em sistema de pastejo rotativo	 quais considerações devem ser observadas quanto às melhores alturas do pasto para colocar e retirar os animais dos piquetes?"
227	Há vantagens em queimar as pastagens na época das chuvas?
228	O que deve ser feito para aumentar a produção e o valor nutritivo dos pastos?
229	Por que as pastagens ficam degradadas?
230	Por quanto tempo devem-se vedar os pastos para recuperálos?
231	A reforma da pastagem é prática recomendável?
232	Como recuperar pastagens degradadas sem empregar o fogo?
233	Em que circunstância o uso do fogo é recomendado para o manejo de pastagem?
234	Qual a época certa para iniciar a alimentação suplementar ao pasto?
235	"A afirmação “solo pobre	 forragem pobre” é correta?"
